"age","job","marital","education","balance","housing","duration","campaign",approval
"48","unemployed","married","tertiary","-471","yes","668","7","no"
"36","management","single","tertiary","1531","yes","81","3","no"
"41","management","single","secondary","764","no","230","2","no"
"55","blue-collar","married","secondary","383","no","287","1","no"
"70","retired","married","primary","3782","no","618","1","no"
"41","management","married","tertiary","326","yes","788","1","yes"
"47","services","divorced","secondary","691","no","285","6","no"
"34","technician","single","secondary","0","no","163","2","no"
"33","management","single","tertiary","99","no","159","1","no"
"58","retired","married","secondary","502","yes","197","2","no"
"51","management","married","tertiary","-15","no","212","2","no"
"45","management","married","tertiary","1929","yes","44","15","no"
"55","admin.","married","secondary","0","no","180","2","no"
"30","blue-collar","single","primary","185","no","11","1","no"
"33","management","single","secondary","-424","yes","863","1","no"
"27","services","single","secondary","0","yes","388","7","no"
"59","retired","married","secondary","319","yes","143","3","no"
"34","management","single","tertiary","171","yes","191","1","no"
"47","technician","divorced","tertiary","-1148","yes","62","2","no"
"44","blue-collar","married","primary","-11","yes","13","1","no"
"35","admin.","single","secondary","0","yes","1073","1","yes"
"45","management","married","tertiary","-206","yes","337","2","no"
"42","blue-collar","married","primary","704","yes","88","10","no"
"38","technician","married","secondary","1931","no","167","1","no"
"34","technician","single","secondary","943","no","96","4","no"
"35","technician","married","secondary","327","yes","537","3","no"
"29","management","single","secondary","-105","yes","5","3","no"
"58","retired","married","secondary","983","no","139","1","no"
"44","blue-collar","single","primary","787","yes","570","2","no"
"45","entrepreneur","married","tertiary","0","yes","100","3","no"
"43","blue-collar","married","secondary","3060","yes","253","2","no"
"44","services","married","secondary","5780","yes","525","2","no"
"30","technician","single","secondary","790","no","696","3","no"
"38","unemployed","married","tertiary","1449","no","535","6","no"
"50","technician","married","secondary","1412","no","131","3","no"
"21","student","single","secondary","681","no","6","1","no"
"38","entrepreneur","married","tertiary","228","yes","105","1","no"
"42","admin.","married","secondary","0","no","370","1","no"
"45","technician","single","tertiary","2087","no","29","14","no"
"34","entrepreneur","married","secondary","2","yes","184","1","no"
"48","technician","married","secondary","197","no","47","2","no"
"34","services","married","secondary","0","no","193","4","no"
"32","blue-collar","married","secondary","1905","yes","709","2","yes"
"35","technician","married","tertiary","118","no","358","2","no"
"39","entrepreneur","married","tertiary","2644","yes","253","1","no"
"36","self-employed","married","tertiary","16430","yes","197","3","no"
"35","technician","married","secondary","13","no","94","2","no"
"57","services","divorced","secondary","14","no","445","2","no"
"28","technician","single","secondary","769","yes","153","1","no"
"43","admin.","married","unknown","3485","no","113","1","no"
"57","management","married","secondary","139","no","80","1","no"
"34","services","divorced","secondary","202","yes","318","1","no"
"36","technician","married","tertiary","6","yes","100","1","no"
"47","management","divorced","tertiary","2515","no","40","3","no"
"36","management","divorced","tertiary","5195","yes","55","25","no"
"33","management","married","tertiary","2098","no","67","1","no"
"57","management","married","tertiary","320","no","76","2","no"
"57","management","married","tertiary","3431","yes","73","1","no"
"34","admin.","married","secondary","50","yes","89","2","no"
"51","housemaid","divorced","tertiary","370","yes","109","3","no"
"54","blue-collar","divorced","primary","-182","no","98","1","no"
"52","self-employed","single","tertiary","1623","yes","21","17","no"
"43","entrepreneur","married","tertiary","13342","yes","465","1","no"
"58","retired","single","primary","6570","no","106","3","no"
"53","admin.","married","secondary","225","yes","304","1","no"
"44","management","married","secondary","-665","no","342","3","no"
"29","management","single","tertiary","0","no","16","25","no"
"27","services","single","secondary","54","yes","543","2","yes"
"35","blue-collar","married","primary","46","no","338","3","no"
"40","self-employed","married","secondary","2","no","197","5","no"
"34","blue-collar","married","secondary","103","yes","956","2","no"
"38","admin.","single","secondary","883","yes","95","1","no"
"32","services","married","secondary","55","yes","546","9","no"
"41","admin.","married","secondary","8238","yes","124","4","no"
"25","blue-collar","single","secondary","913","yes","113","4","no"
"38","blue-collar","divorced","secondary","595","yes","245","3","no"
"26","technician","single","secondary","7","yes","188","2","no"
"37","technician","single","tertiary","1661","no","199","5","no"
"30","management","married","tertiary","102","yes","470","7","yes"
"36","services","married","secondary","338","no","90","1","no"
"33","management","married","secondary","3132","yes","350","5","no"
"33","admin.","single","tertiary","490","yes","31","1","no"
"35","management","married","tertiary","2682","yes","156","1","no"
"24","services","married","tertiary","0","yes","299","1","no"
"29","unemployed","married","secondary","596","no","510","2","no"
"54","blue-collar","married","secondary","2059","yes","177","4","no"
"27","admin.","married","secondary","132","no","123","2","no"
"34","management","married","secondary","0","no","270","1","no"
"39","blue-collar","married","primary","385","yes","225","4","no"
"38","management","married","tertiary","223","no","63","1","no"
"37","management","married","tertiary","0","yes","247","13","no"
"26","services","single","secondary","512","yes","206","5","no"
"36","entrepreneur","married","tertiary","1169","yes","168","2","no"
"35","","single","tertiary","71","yes","836","12","no"
"30","management","single","tertiary","940","no","131","2","no"
"25","technician","single","secondary","-80","yes","89","1","no"
"34","technician","married","secondary","0","yes","116","4","no"
"52","unknown","married","unknown","1317","no","58","1","no"
"39","admin.","married","secondary","179","no","36","1","no"
"34","management","married","secondary","1007","yes","240","2","no"
"34","management","single","secondary","0","no","132","4","no"
"30","services","married","secondary","1286","yes","544","1","no"
"33","services","married","secondary","804","yes","266","1","no"
"30","student","single","secondary","4","no","443","2","no"
"51","blue-collar","married","primary","0","yes","324","1","no"
"36","services","single","secondary","417","yes","15","10","no"
"48","blue-collar","married","primary","1678","no","263","2","no"
"37","services","divorced","secondary","532","yes","199","1","no"
"58","management","married","secondary","407","yes","145","2","no"
"56","management","divorced","tertiary","659","no","56","1","no"
"34","blue-collar","married","secondary","393","yes","11","9","no"
"33","admin.","divorced","secondary","661","yes","411","1","no"
"26","services","single","secondary","0","no","165","23","no"
"40","management","single","unknown","838","yes","619","3","no"
"35","services","married","secondary","195","yes","203","1","no"
"45","entrepreneur","married","secondary","68","yes","254","1","no"
"37","technician","single","secondary","-242","yes","1149","6","yes"
"35","management","divorced","tertiary","321","yes","189","1","no"
"43","services","single","secondary","3403","yes","707","2","yes"
"28","blue-collar","married","secondary","8","yes","196","1","no"
"32","blue-collar","divorced","secondary","739","yes","171","1","no"
"26","unemployed","single","secondary","622","no","1451","2","yes"
"35","services","married","secondary","152","yes","563","1","yes"
"35","technician","single","secondary","2","no","23956498","4","no"
"39","blue-collar","married","secondary","1439","yes","73","6","no"
"42","blue-collar","divorced","secondary","1491","yes","203","2","no"
"32","technician","single","secondary","6402","yes","158","1","no"
"30","unemployed","married","secondary","1210","no","100","4","no"
"26","management","single","tertiary","122","no","160","1","no"
"30","student","single","secondary","0","yes","661","1","no"
"32","management","married","tertiary","62","yes","166","1","no"
"47","services","married","secondary","3333","yes","114","2","no"
"33","technician","married","tertiary","16992","yes","58","1","no"
"57","blue-collar","married","primary","23","yes","25","8","no"
"35","admin.","married","secondary","0","yes","121","2","no"
"53","technician","married","tertiary","6072","no","226","4","no"
"24","retired","single","secondary","366","no","234","2","no"
"54","management","divorced","tertiary","0","no","88","1","no"
"31","management","married","tertiary","1343","yes","85","1","no"
"41","entrepreneur","married","secondary","2105","yes","134","1","no"
"44","unknown","married","secondary","2319","no","251","3","no"
"35","services","single","secondary","35","yes","152","1","no"
"30","management","married","tertiary","877","no","202","1","no"
"43","blue-collar","single","primary","30","yes","379","17","no"
"51","entrepreneur","married","secondary","-2082","no","123","6","no"
"60","retired","married","secondary","89","no","156","2","no"
"43","self-employed","married","secondary","104","no","332","1","no"
"31","management","married","tertiary","1750","yes","90","3","no"
"56","management","married","primary","772","yes","291","1","no"
"42","technician","married","secondary","1048","yes","23","2","no"
"52","entrepreneur","married","primary","592","no","122","2","no"
"40","technician","married","secondary","0","yes","105","2","no"
"36","services","married","secondary","3064","yes","1143","4","no"
"40","services","married","primary","33","no","70","3","no"
"46","blue-collar","married","secondary","0","yes","264","2","no"
"32","admin.","single","secondary","1649","no","204","2","no"
"31","housemaid","single","tertiary","287","yes","182","1","no"
"41","technician","divorced","secondary","0","yes","386","2","no"
"58","housemaid","married","primary","419","no","295","3","no"
"36","services","married","secondary","257","yes","86","2","no"
"52","technician","married","secondary","118","no","16","20","no"
"42","management","married","tertiary","251","no","413","2","no"
"32","management","single","tertiary","1731","yes","323","3","no"
"62","management","married","tertiary","0","no","78","3","no"
"31","technician","single","tertiary","23","no","121","3","no"
"41","blue-collar","single","secondary","-386","no","477","1","yes"
"34","self-employed","married","tertiary","5498","no","265","1","no"
"44","management","single","tertiary","5063","no","418","2","yes"
"42","blue-collar","married","primary","7041","yes","386","4","no"
"37","entrepreneur","single","secondary","654","no","594","2","no"
"47","management","married","tertiary","1890","no","161","1","no"
"32","unemployed","married","secondary","2400","yes","450","3","no"
"46","blue-collar","married","secondary","519","yes","217","6","no"
"39","technician","single","tertiary","1190","no","136","1","no"
"28","services","single","secondary","229","yes","322","1","no"
"26","student","single","secondary","203","no","104","1","no"
"52","technician","married","secondary","1818","no","189","2","no"
"42","unemployed","married","secondary","1289","no","250","4","yes"
"33","technician","divorced","tertiary","39","no","123","5","no"
"73","retired","married","primary","796","no","427","1","yes"
"35","admin.","single","secondary","57","no","632","2","no"
"40","management","married","tertiary","1548","yes","101","3","no"
"51","technician","married","secondary","117","no","467","2","yes"
"37","admin.","single","secondary","0","yes","640","2","no"
"39","management","married","tertiary","691","yes","517","1","no"
"28","blue-collar","married","secondary","64","yes","160","3","no"
"49","technician","divorced","tertiary","0","yes","177","3","no"
"36","admin.","married","secondary","957","yes","206","1","no"
"45","technician","married","secondary","118","yes","208","2","no"
"29","technician","single","tertiary","218","yes","169","1","no"
"35","management","married","secondary","724","yes","287","2","yes"
"35","housemaid","married","tertiary","20","yes","505","3","no"
"30","blue-collar","married","secondary","-28","yes","284","2","no"
"46","blue-collar","married","primary","665","no","89","4","no"
"25","student","single","tertiary","5","no","138","1","no"
"36","management","married","tertiary","925","no","321","3","yes"
"42","blue-collar","married","primary","2519","yes","262","4","no"
"57","admin.","married","secondary","3927","no","61","1","no"
"42","management","divorced","tertiary","401","yes","217","9","no"
"29","management","married","tertiary","581","yes","192","2","no"
"36","technician","married","tertiary","1327","no","174","2","no"
"31","unemployed","married","secondary","3242","no","292","2","no"
"59","technician","married","primary","3163","yes","240","2","no"
"50","unemployed","divorced","secondary","32","no","282","2","no"
"47","admin.","married","secondary","310","yes","128","6","no"
"46","housemaid","married","primary","0","no","161","1","no"
"26","blue-collar","single","primary","155","yes","291","1","no"
"31","services","single","secondary","11386","yes","356","1","no"
"30","services","married","tertiary","1380","yes","294","2","no"
"47","blue-collar","single","unknown","2443","no","422","1","no"
"23","technician","single","tertiary","1129","yes","806","1","yes"
"44","unemployed","single","primary","4232","no","227","1","no"
"42","self-employed","married","secondary","5564","no","560","2","no"
"32","services","single","secondary","-402","yes","135","1","no"
"28","admin.","single","secondary","1323","yes","361","1","no"
"57","retired","married","primary","1623","yes","246","1","no"
"38","technician","married","tertiary","1042","yes","419","2","no"
"22","student","single","secondary","2488","no","449","2","yes"
"54","admin.","married","secondary","865","yes","71","1","no"
"32","technician","married","tertiary","-1053","yes","357","3","no"
"32","management","married","tertiary","1667","yes","164","2","no"
"59","admin.","divorced","secondary","975","yes","263","4","no"
"45","technician","married","secondary","2571","no","146","2","no"
"53","unknown","married","primary","732","no","759","2","yes"
"50","admin.","divorced","secondary","769","no","72","2","no"
"34","technician","married","secondary","-136","yes","131","2","no"
"35","admin.","divorced","secondary","3636","no","808","2","yes"
"30","","married","tertiary","931","no","1183","1","no"
"62","housemaid","married","secondary","565","no","123","3","no"
"40","blue-collar","married","secondary","271","yes","483","2","no"
"26","self-employed","single","tertiary","1153","no","238","3","no"
"34","management","married","tertiary","-73","yes","90","1","no"
"50","unknown","married","unknown","558","no","464","1","yes"
"31","unknown","divorced","tertiary","137","no","385","9","no"
"35","technician","married","secondary","700","yes","240","2","no"
"55","retired","married","primary","-966","no","104","1","no"
"34","admin.","married","secondary","96","no","109","2","no"
"58","retired","married","primary","4007","no","598","4","no"
"50","management","single","tertiary","567","yes","274","8","no"
"31","technician","single","secondary","40","no","123","2","no"
"47","admin.","divorced","secondary","136","no","70","1","no"
"38","self-employed","single","tertiary","917","yes","260","1","no"
"46","management","single","tertiary","593","yes","190","3","no"
"42","blue-collar","married","primary","505","yes","521","2","no"
"34","blue-collar","married","secondary","2542","yes","228","1","no"
"37","management","married","tertiary","5355","no","466","4","yes"
"38","student","single","tertiary","807","no","74","2","no"
"59","retired","married","secondary","9976","yes","57","2","no"
"32","admin.","married","secondary","0","no","119","3","no"
"55","management","married","tertiary","540","no","124","2","no"
"35","blue-collar","married","secondary","280","yes","65","50","no"
"56","management","divorced","tertiary","-59","no","127","6","no"
"27","admin.","married","secondary","-517","yes","172","3","no"
"42","unemployed","single","secondary","2613","yes","174","6","no"
"42","student","married","unknown","-7","no","41","6","no"
"41","blue-collar","married","primary","0","yes","232","3","no"
"53","retired","divorced","secondary","-200","no","161","1","no"
"67","retired","married","primary","2301","no","124","1","no"
"53","housemaid","married","primary","104","no","701","1","yes"
"33","blue-collar","married","primary","191","yes","162","2","no"
"31","technician","single","unknown","694","yes","431","2","no"
"31","admin.","married","secondary","212","yes","191","3","no"
"30","management","married","tertiary","1882","yes","249","5","no"
"48","blue-collar","married","unknown","131","yes","189","1","no"
"30","technician","single","secondary","175","no","167","4","no"
"43","technician","single","tertiary","0","no","73","4","no"
"38","management","divorced","tertiary","4425","yes","162","1","no"
"46","unemployed","married","secondary","3533","yes","235","2","no"
"59","blue-collar","divorced","secondary","3573","no","44","1","no"
"44","management","divorced","tertiary","476","yes","127","2","no"
"35","blue-collar","married","secondary","1257","yes","93","3","no"
"55","blue-collar","married","unknown","23","no","143","1","no"
"39","management","single","tertiary","0","yes","81","2","no"
"36","services","single","secondary","398","yes","77","2","no"
"33","blue-collar","married","secondary","745","yes","115","4","no"
"48","management","single","tertiary","8106","no","125","1","no"
"33","management","single","tertiary","0","no","53","4","no"
"67","retired","married","unknown","696","no","77","2","no"
"48","unemployed","divorced","secondary","1266","yes","45","1","no"
"57","management","married","tertiary","2416","no","74","2","no"
"31","housemaid","married","primary","25","no","169","5","no"
"30","student","single","tertiary","7513","no","269","2","no"
"56","entrepreneur","divorced","primary","29","no","52","2","no"
"26","blue-collar","married","primary","5116","yes","246","3","no"
"44","management","married","secondary","-1746","yes","218","1","no"
"44","technician","divorced","secondary","14","no","167","1","yes"
"31","management","married","tertiary","4148","yes","316","3","yes"
"47","self-employed","married","unknown","14","yes","142","1","no"
"30","admin.","single","secondary","105","yes","75","1","no"
"37","management","married","tertiary","767","no","204","1","no"
"56","admin.","divorced","primary","0","no","542","1","no"
"43","management","single","secondary","-228","yes","122","2","no"
"42","services","married","secondary","508","yes","70","1","no"
"60","management","married","secondary","725","yes","266","1","no"
"34","blue-collar","married","unknown","41","yes","34","9","no"
"34","management","single","tertiary","184","no","203","4","no"
"41","management","married","tertiary","251","no","85","3","no"
"38","management","divorced","secondary","-17","no","11","4","no"
"23","services","married","secondary","-19","yes","13","10","no"
"33","management","married","tertiary","1064","yes","562","1","yes"
"36","blue-collar","married","secondary","777","yes","185","3","no"
"49","unemployed","married","tertiary","377","no","158","1","no"
"34","admin.","divorced","secondary","479","yes","515","1","yes"
"40","technician","divorced","secondary","-375","yes","60","5","no"
"72","retired","married","primary","796","no","173","2","no"
"43","technician","married","secondary","17","yes","353","4","no"
"44","blue-collar","married","secondary","1071","yes","143","3","no"
"35","admin.","married","secondary","0","yes","18","5","no"
"46","admin.","divorced","secondary","7378","no","466","1","no"
"55","admin.","married","secondary","865","yes","85","1","no"
"50","technician","divorced","secondary","-701","yes","148","1","no"
"23","blue-collar","single","unknown","817","yes","123","1","no"
"34","student","married","unknown","1387","no","121","1","no"
"40","blue-collar","married","secondary","0","yes","245","3","no"
"61","retired","married","secondary","2917","no","215","1","yes"
"53","technician","married","secondary","4541","yes","190","6","no"
"57","technician","married","secondary","0","no","44","1","no"
"28","blue-collar","married","secondary","4287","no","171","1","no"
"25","admin.","married","secondary","242","yes","62","12","no"
"38","blue-collar","married","secondary","171","yes","172","1","no"
"27","services","single","secondary","259","yes","78","10","no"
"45","blue-collar","married","secondary","827","yes","319","5","no"
"31","services","single","secondary","469","no","111","1","no"
"39","blue-collar","married","primary","2226","yes","158","1","no"
"42","technician","married","secondary","0","no","82","12","no"
"46","management","married","tertiary","477","yes","128","6","no"
"36","services","married","secondary","42","yes","102","4","no"
"30","management","single","tertiary","775","yes","124","2","no"
"32","blue-collar","married","secondary","9","yes","334","2","no"
"52","technician","married","tertiary","2557","no","134","5","yes"
"31","management","married","tertiary","2395","no","218","1","no"
"60","management","married","primary","4895","no","313","1","no"
"35","blue-collar","single","secondary","376","yes","207","3","no"
"38","management","married","tertiary","389","yes","262","1","no"
"46","management","divorced","tertiary","134","no","134","2","no"
"45","entrepreneur","divorced","tertiary","1273","yes","197","3","no"
"59","services","married","secondary","0","yes","214","3","no"
"34","management","married","tertiary","2892","yes","1165","7","no"
"33","technician","divorced","secondary","0","yes","177","2","no"
"46","management","single","secondary","295","yes","141","6","no"
"48","admin.","married","secondary","292","yes","164","6","no"
"31","services","single","secondary","85","no","151","1","no"
"32","technician","married","secondary","4","no","145","2","no"
"35","blue-collar","divorced","primary","-587","yes","111","1","no"
"36","blue-collar","single","primary","367","no","217","1","no"
"52","management","married","tertiary","-1224","yes","253","4","no"
"45","management","divorced","tertiary","959","no","74","1","no"
"34","management","married","tertiary","0","no","263","2","no"
"25","blue-collar","married","primary","-589","yes","233","1","no"
"26","management","single","tertiary","-8","no","402","2","no"
"57","management","married","unknown","0","no","585","1","no"
"48","management","married","primary","247","yes","145","1","no"
"48","technician","married","unknown","5543","no","143","5","no"
"32","blue-collar","married","primary","642","no","524","1","no"
"58","retired","married","secondary","11","no","270","1","no"
"57","management","married","primary","-226","yes","272","1","no"
"31","entrepreneur","married","tertiary","5191","no","187","2","no"
"33","blue-collar","single","secondary","-320","no","268","2","no"
"53","entrepreneur","married","tertiary","2289","yes","183","1","no"
"36","admin.","married","secondary","725","yes","123","3","no"
"32","technician","single","tertiary","705","yes","20","4","no"
"45","blue-collar","married","secondary","776","yes","232","4","no"
"35","unemployed","married","tertiary","816","yes","547","7","no"
"41","services","married","secondary","171","no","71","9","no"
"54","services","married","secondary","812","no","113","6","no"
"49","services","married","secondary","823","no","780","4","yes"
"28","technician","single","secondary","1453","yes","246","1","no"
"24","blue-collar","single","unknown","431","yes","108","12","no"
"30","admin.","single","secondary","1009","yes","253","1","no"
"32","self-employed","married","primary","286","yes","175","1","no"
"53","entrepreneur","married","tertiary","22370","yes","106","1","no"
"42","blue-collar","married","primary","2111","yes","86","2","no"
"48","blue-collar","married","primary","5366","yes","248","3","no"
"33","technician","married","secondary","181","yes","265","2","no"
"31","blue-collar","divorced","secondary","-452","yes","182","5","no"
"56","unemployed","divorced","primary","1770","no","916","3","no"
"58","retired","married","primary","0","no","506","1","no"
"37","admin.","single","secondary","-296","yes","81","1","no"
"59","management","married","primary","2358","yes","30","1","no"
"50","management","single","tertiary","1200","no","904","3","yes"
"39","housemaid","single","primary","109","yes","699","3","no"
"30","technician","married","secondary","616","yes","19","1","no"
"47","services","divorced","secondary","4906","yes","389","1","no"
"44","self-employed","married","secondary","313","no","211","4","no"
"38","blue-collar","married","primary","290","yes","283","1","no"
"50","management","married","tertiary","1240","no","474","2","no"
"27","admin.","single","tertiary","3672","yes","157","2","no"
"73","retired","married","secondary","19","no","509","2","no"
"46","blue-collar","married","primary","143","yes","279","1","no"
"56","retired","divorced","secondary","212","no","27","1","no"
"36","management","married","tertiary","9","no","386","4","yes"
"33","blue-collar","married","primary","3074","no","679","1","no"
"40","","married","tertiary","1734","yes","169","1","no"
"52","management","married","tertiary","575","no","315","1","no"
"51","blue-collar","married","secondary","397","yes","293","2","no"
"33","blue-collar","married","secondary","640","yes","439","3","no"
"54","services","married","secondary","158","yes","198","1","no"
"44","management","married","secondary","2984","yes","770","2","no"
"50","entrepreneur","married","secondary","1011","yes","340","2","no"
"45","blue-collar","single","secondary","0","yes","1472","1","yes"
"36","management","married","tertiary","1133","yes","293","1","yes"
"42","technician","married","secondary","4945","yes","311","2","yes"
"37","technician","married","secondary","712","yes","291","2","no"
"28","services","single","secondary","-427","yes","965","2","no"
"56","admin.","married","secondary","2146","no","594","1","no"
"59","admin.","married","secondary","92","yes","139","2","no"
"32","unemployed","married","secondary","10","yes","501","4","no"
"57","retired","married","primary","1238","yes","274","1","no"
"49","admin.","single","secondary","981","yes","10","3","no"
"56","entrepreneur","married","unknown","575","no","18","2","no"
"48","admin.","divorced","unknown","-70","no","243","1","no"
"27","student","single","tertiary","3733","yes","198","1","yes"
"31","management","single","tertiary","574","yes","410","2","no"
"28","blue-collar","single","secondary","43","no","190","1","no"
"36","management","married","tertiary","428","no","121","1","no"
"58","housemaid","married","primary","0","yes","148","1","no"
"46","admin.","married","secondary","0","yes","239","2","no"
"32","management","single","tertiary","474","yes","90","3","no"
"39","services","married","secondary","-540","no","29","1","no"
"35","self-employed","married","tertiary","560","yes","58","1","no"
"31","management","married","tertiary","325","yes","1139","2","yes"
"29","management","single","tertiary","437","no","504","1","yes"
"48","blue-collar","married","primary","574","no","348","1","no"
"60","retired","married","primary","0","no","130","3","no"
"74","retired","married","secondary","935","no","100","1","no"
"30","services","married","secondary","699","yes","544","1","no"
"52","admin.","single","primary","0","no","182","11","no"
"24","blue-collar","married","secondary","-220","yes","90","1","no"
"29","services","married","secondary","11417","yes","272","2","no"
"33","housemaid","married","primary","212","yes","260","2","no"
"34","blue-collar","married","secondary","67","yes","672","3","no"
"45","admin.","divorced","secondary","0","no","264","1","yes"
"31","blue-collar","married","secondary","0","no","275","2","no"
"45","technician","married","secondary","1673","no","76","1","no"
"27","services","married","secondary","-1202","yes","749","2","no"
"30","management","single","tertiary","4213","no","142","4","no"
"45","blue-collar","married","primary","0","no","454","2","no"
"57","blue-collar","married","secondary","1521","yes","102","2","no"
"34","management","married","tertiary","1310","no","521","3","no"
"40","admin.","married","secondary","0","yes","57","1","no"
"39","management","married","tertiary","399","no","504","1","no"
"46","technician","married","tertiary","405","no","138","3","no"
"55","management","divorced","tertiary","9756","yes","103","2","yes"
"25","management","single","tertiary","2506","no","485","1","yes"
"34","management","married","tertiary","697","no","166","1","no"
"37","blue-collar","married","primary","403","yes","318","2","no"
"64","retired","divorced","tertiary","890","no","531","3","no"
"45","technician","divorced","secondary","809","yes","155","2","no"
"57","housemaid","married","secondary","158","yes","73","1","no"
"21","student","single","unknown","137","yes","198","3","no"
"58","housemaid","married","secondary","2705","no","137","1","no"
"41","blue-collar","single","secondary","75","yes","479","9","yes"
"41","management","married","unknown","2457","yes","285","1","no"
"58","management","married","tertiary","541","yes","98","1","no"
"33","management","married","tertiary","287","yes","199","2","no"
"32","management","married","tertiary","273","yes","97","3","no"
"44","services","divorced","secondary","0","yes","389","5","no"
"47","unknown","married","unknown","677","no","384","1","no"
"41","self-employed","married","primary","340","no","37","3","no"
"54","technician","married","tertiary","98","no","420","4","no"
"47","technician","divorced","tertiary","477","yes","973","1","no"
"32","management","single","tertiary","2629","no","77","4","no"
"59","housemaid","married","tertiary","0","no","376","2","no"
"29","technician","single","tertiary","2325","no","125","1","yes"
"48","services","married","secondary","-20","no","142","2","no"
"32","technician","single","secondary","230","yes","442","1","yes"
"46","management","divorced","secondary","-852","no","728","2","no"
"31","blue-collar","single","primary","-280","no","281","3","no"
"53","blue-collar","married","secondary","25","no","528","2","yes"
"34","technician","single","tertiary","9851","yes","128","5","no"
"48","services","single","unknown","5095","yes","71","1","no"
"32","technician","married","secondary","687","no","161","4","no"
"31","management","married","secondary","1368","yes","129","4","no"
"27","blue-collar","single","primary","-179","yes","54","2","no"
"60","admin.","married","secondary","-396","yes","443","1","no"
"34","blue-collar","single","tertiary","1011","yes","136","1","no"
"52","self-employed","married","secondary","9","no","44","1","no"
"48","blue-collar","married","secondary","1159","yes","1181","9","no"
"45","technician","married","primary","-322","no","225","2","no"
"54","technician","divorced","secondary","1114","yes","81","1","no"
"52","services","married","secondary","2072","no","224","1","no"
"47","entrepreneur","married","tertiary","459","yes","189","4","no"
"54","unknown","married","secondary","1157","no","98","2","no"
"34","blue-collar","married","secondary","8309","yes","50","1","no"
"39","technician","single","tertiary","1043","no","195","10","no"
"46","technician","married","secondary","2098","no","110","2","no"
"26","unemployed","single","secondary","461","no","214","1","no"
"37","technician","single","secondary","61","yes","182","8","no"
"47","blue-collar","married","secondary","1203","yes","239","2","no"
"35","technician","married","secondary","1067","no","179","6","no"
"57","unemployed","married","primary","0","no","540","1","no"
"34","management","married","tertiary","1657","yes","566","2","no"
"47","technician","married","secondary","1219","no","697","4","yes"
"27","technician","married","secondary","7","yes","98","2","no"
"40","blue-collar","married","secondary","-839","yes","1018","2","yes"
"39","technician","married","secondary","994","no","221","1","no"
"36","entrepreneur","married","tertiary","6","no","246","1","no"
"42","technician","single","secondary","0","no","656","2","no"
"23","blue-collar","single","primary","8627","yes","281","1","no"
"34","management","married","tertiary","133","yes","65","1","no"
"34","blue-collar","married","secondary","247","yes","193","5","no"
"49","services","married","secondary","1114","no","283","1","no"
"57","blue-collar","married","primary","1592","no","78","4","no"
"59","retired","married","unknown","0","no","425","6","no"
"57","admin.","married","tertiary","46","no","238","2","no"
"34","blue-collar","married","secondary","1221","yes","182","1","no"
"61","management","married","secondary","985","no","998","6","yes"
"35","blue-collar","divorced","secondary","0","yes","477","1","no"
"42","management","married","tertiary","520","no","158","1","no"
"57","services","married","tertiary","10","no","320","3","no"
"42","blue-collar","married","secondary","2157","yes","149","1","no"
"53","retired","married","secondary","6095","yes","410","5","no"
"63","retired","married","tertiary","133","yes","104","2","no"
"47","self-employed","married","secondary","1121","no","454","6","no"
"54","services","married","secondary","88","yes","190","1","no"
"45","admin.","married","secondary","0","no","145","10","no"
"28","management","single","tertiary","-328","yes","318","2","no"
"58","unemployed","married","secondary","610","yes","246","2","no"
"48","management","single","tertiary","414","no","761","2","no"
"35","management","divorced","tertiary","0","yes","171","1","yes"
"37","self-employed","married","tertiary","0","no","143","1","no"
"37","blue-collar","married","secondary","685","yes","968","1","no"
"37","management","married","primary","22856","no","154","1","no"
"25","services","single","secondary","-352","no","246","1","no"
"58","blue-collar","married","secondary","602","yes","201","1","no"
"52","management","married","secondary","-588","yes","81","4","no"
"19","student","single","secondary","302","no","205","1","yes"
"59","blue-collar","married","secondary","5314","yes","200","3","no"
"41","technician","married","secondary","64","yes","210","2","no"
"34","technician","single","tertiary","632","no","215","10","no"
"35","technician","single","secondary","5731","yes","164","2","no"
"41","technician","married","secondary","902","no","35","6","no"
"28","blue-collar","single","secondary","6307","yes","615","1","no"
"53","management","divorced","secondary","112","no","246","3","no"
"35","services","married","secondary","0","no","42","1","no"
"33","admin.","single","tertiary","621","no","217","1","no"
"37","technician","single","secondary","435","yes","210","1","no"
"32","technician","married","secondary","782","yes","116","4","no"
"32","blue-collar","married","secondary","478","yes","200","1","no"
"54","services","married","unknown","7864","yes","145","4","no"
"44","blue-collar","married","secondary","1910","yes","41","1","no"
"36","technician","divorced","tertiary","1174","yes","192","2","no"
"56","admin.","married","secondary","1270","yes","80","2","no"
"30","management","single","tertiary","18","no","121","11","no"
"36","blue-collar","married","secondary","141","yes","106","3","no"
"43","management","married","tertiary","2886","no","230","1","no"
"40","technician","married","secondary","2715","yes","125","2","no"
"32","technician","single","tertiary","1100","yes","67","1","no"
"34","blue-collar","married","secondary","516","yes","26","1","no"
"37","services","married","secondary","1","no","395","2","no"
"28","admin.","single","secondary","775","no","603","2","no"
"35","unknown","married","primary","634","no","185","2","no"
"53","blue-collar","single","secondary","5715","no","287","2","no"
"60","admin.","married","unknown","1088","yes","149","1","no"
"40","entrepreneur","married","secondary","1532","yes","173","7","no"
"57","retired","married","primary","75","no","118","2","no"
